City_ID,City,Country,Lat,Lng,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Current Description
167,Longyearbyen,SJ,78.2186,15.6401,33.64,64,75,11.5,broken clouds
168,Tasiilaq,GL,65.6145,-37.6368,39.36,78,27,0.22,scattered clouds
169,Sao Felix Do Xingu,BR,-6.6447,-51.995,86.14,43,60,0.69,broken clouds
170,Mitchell,US,43.7094,-98.0298,53.74,54,100,7.0,overcast clouds
171,Chokurdakh,RU,70.6333,147.9167,31.73,97,100,6.82,overcast clouds
172,Cassilandia,BR,-19.1133,-51.7342,70.93,32,0,4.29,clear sky
173,Nanortalik,GL,60.1432,-45.2371,39.15,78,63,7.09,broken clouds
174,Namibe,AO,-15.1961,12.1522,69.94,68,59,9.93,broken clouds
175,Dunedin,NZ,-45.8742,170.5036,48.79,65,98,18.99,overcast clouds
176,Hirara,JP,24.8,125.2833,74.82,83,100,14.61,overcast clouds
177,Monrovia,LR,6.3005,-10.7969,79.36,85,100,9.04,moderate rain
178,Ilulissat,GL,69.2167,-51.1,37.42,65,75,9.22,broken clouds
179,Souillac,MU,-20.5167,57.5167,74.98,77,2,14.09,clear sky
180,Sibu,MY,2.3,111.8167,74.44,98,94,1.12,overcast clouds
181,Victoria,HK,22.2855,114.1577,80.19,81,21,5.01,few clouds
182,Athens,GR,37.9795,23.7162,70.16,35,20,11.5,few clouds
183,Lavrentiya,RU,65.5833,-171.0,32.86,90,81,6.29,broken clouds
184,Vestmanna,FO,62.1564,-7.1664,47.32,100,100,21.85,overcast clouds
185,Kavaratti,IN,10.5669,72.642,82.08,80,47,10.27,scattered clouds
186,Challapata,BO,-18.9,-66.7667,50.58,17,94,9.31,overcast clouds
187,Puerto Suarez,BO,-18.95,-57.8,80.11,22,0,4.03,clear sky
188,Batagay-Alyta,RU,67.8006,130.4114,25.77,95,98,4.25,overcast clouds
189,Boa Vista,BR,2.8197,-60.6733,83.01,69,70,3.87,broken clouds
190,Zakamensk,RU,50.3741,103.2863,58.51,38,91,1.59,overcast clouds
191,Half Moon Bay,US,37.4636,-122.4286,72.52,30,0,10.36,clear sky
192,Castro,BR,-24.7911,-50.0119,61.32,46,0,5.86,clear sky
193,Kruisfontein,ZA,-34.0033,24.7314,54.88,91,100,6.64,light rain
194,Fort Nelson,CA,58.8053,-122.7002,54.84,25,66,3.22,broken clouds
195,Oneonta,US,42.4529,-75.0638,81.3,70,36,16.13,scattered clouds
196,Waipawa,NZ,-41.4122,175.5153,39.67,81,11,5.21,few clouds
197,Kichera,RU,55.9375,110.0997,51.78,61,68,0.87,broken clouds
198,Solnechnyy,RU,50.7214,136.6319,43.23,99,100,2.24,overcast clouds
199,Pangnirtung,CA,66.1451,-65.7125,35.28,88,100,2.01,overcast clouds
200,Bandar-E Lengeh,IR,26.5579,54.8807,88.36,52,0,6.15,clear sky
201,Chara,RU,56.9064,118.2631,43.11,82,67,3.36,broken clouds
202,Obera,AR,-27.4871,-55.1199,64.72,37,0,3.29,clear sky
203,Peniche,PT,39.3558,-9.3811,74.28,77,100,20.2,overcast clouds
204,Muros,ES,42.7762,-9.0603,79.16,56,36,10.92,scattered clouds
205,Butaritari,KI,3.0707,172.7902,82.02,73,80,14.97,broken clouds
206,Poum,NC,-20.2333,164.0167,77.58,81,1,10.16,clear sky
207,Mabay,PH,6.0577,124.4666,78.06,88,99,4.23,overcast clouds
208,Zitacuaro,MX,19.4372,-100.358,76.73,27,24,8.32,few clouds
209,Sitka,US,57.0531,-135.33,60.8,49,0,2.91,clear sky
210,Port Moresby,PG,-9.4431,147.1797,75.34,89,5,6.49,clear sky
211,Maniitsoq,GL,65.4167,-52.9,36.82,57,86,1.1,overcast clouds
212,Henties Bay,NA,-22.116,14.2845,57.45,79,0,23.24,clear sky
213,Ukiah,US,39.1502,-123.2078,70.38,28,74,4.0,broken clouds
214,Kandi,BJ,11.1342,2.9386,86.74,47,78,3.31,light rain
215,Nelson Bay,AU,-32.7167,152.15,57.99,99,70,1.01,light rain
216,Sangin,AF,32.0728,64.8359,81.64,13,0,10.83,clear sky
217,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,66,82,4.88,broken clouds
218,Qaqortoq,GL,60.7167,-46.0333,39.97,76,44,4.63,scattered clouds
219,Tuatapere,NZ,-46.1333,167.6833,46.18,80,100,19.69,overcast clouds
220,Puerto Baquerizo Moreno,EC,-0.9,-89.6,73.65,81,96,14.7,overcast clouds
221,Thompson,CA,55.7435,-97.8558,37.9,58,100,12.33,overcast clouds
222,Samarai,PG,-10.6167,150.6667,80.96,77,18,6.11,few clouds
223,Maningrida,AU,-12.0667,134.2667,73.22,85,3,8.03,clear sky
224,Viedma,AR,-40.8135,-62.9967,64.85,28,94,11.61,overcast clouds
225,Vao,NC,-22.6667,167.4833,74.91,82,100,24.07,overcast clouds
226,Prince Rupert,CA,54.3161,-130.3201,44.69,93,100,2.3,overcast clouds
227,Alice Springs,AU,-23.7,133.8833,44.15,87,1,0.0,clear sky
228,Hue,VN,16.4667,107.6,80.71,83,75,2.3,broken clouds
229,Nargana,PA,9.4428,-78.5906,81.59,76,100,6.29,overcast clouds
230,Carlisle,US,40.2015,-77.1889,82.8,69,83,11.43,moderate rain
231,Klaksvik,FO,62.2266,-6.589,49.12,98,100,18.9,overcast clouds
232,Ostrovnoy,RU,68.0531,39.5131,32.41,69,99,7.7,overcast clouds
233,Blackwater,AU,-23.5833,148.8833,61.92,90,100,13.29,overcast clouds
234,Honiara,SB,-9.4333,159.95,76.23,87,26,2.71,scattered clouds
235,North Myrtle Beach,US,33.816,-78.68,96.1,67,5,8.99,clear sky
236,Luderitz,NA,-26.6481,15.1594,55.29,67,13,17.43,few clouds
237,Ahipara,NZ,-35.1667,173.1667,57.74,68,100,15.35,overcast clouds
238,Gunjur,GM,13.2019,-16.7339,84.27,61,0,8.05,clear sky
239,Oxbow,CA,49.2333,-102.1676,37.63,76,100,18.23,overcast clouds
240,Borogontsy,RU,62.6683,131.1683,38.19,97,100,7.05,light rain
241,Sinazongwe,ZM,-17.2614,27.4618,74.07,63,71,4.41,broken clouds
242,Monkey Bay,MW,-14.0728,34.9201,76.98,66,67,2.06,broken clouds
243,Lethem,GY,3.3803,-59.7968,86.38,58,77,7.23,broken clouds
244,Khorinsk,RU,52.1657,109.7726,55.83,49,6,2.3,clear sky
245,Maceio,BR,-9.6658,-35.7353,76.44,78,75,9.22,broken clouds
246,Aberfeldy,GB,56.62,-3.8645,54.1,94,96,3.98,moderate rain
247,Linguere,SN,15.3953,-15.1193,106.54,7,30,7.58,scattered clouds
248,Guerrero Negro,MX,27.9769,-114.0611,69.58,53,34,6.22,scattered clouds
249,Yichun,CN,47.7,128.9,49.69,97,100,2.71,overcast clouds
250,Sobolevo,RU,54.4299,31.8996,48.76,92,100,10.31,light rain
251,Besikduzu,TR,41.052,39.2284,55.29,76,30,7.36,scattered clouds
252,Asmara,ER,15.3333,38.9333,66.87,30,29,4.85,scattered clouds
253,Mujiayingzi,CN,42.1167,118.7833,64.44,22,5,8.23,clear sky
