City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
176,Ribeira Grande,PT,2022-05-14 19:52:35,38.5167,-28.7,63.0,63,75,26.46
177,Port Hawkesbury,CA,2022-05-14 19:52:36,45.6169,-61.3485,61.43,73,40,14.97
178,Hobyo,SO,2022-05-14 19:52:36,5.3505,48.5268,81.64,77,80,25.03
179,Nome,US,2022-05-14 19:52:37,64.5011,-165.4064,36.16,75,0,5.75
180,Fort Nelson,CA,2022-05-14 19:52:37,58.8053,-122.7002,45.99,93,100,4.61
181,Rawson,AR,2022-05-14 19:50:54,-43.3002,-65.1023,54.68,45,0,20.18
182,Padang,ID,2022-05-14 19:52:38,-0.9492,100.3543,78.84,85,11,3.4
183,Ilulissat,GL,2022-05-14 19:52:39,69.2167,-51.1,25.65,61,50,3.6
184,Coquimbo,CL,2022-05-14 19:53:39,-29.9533,-71.3436,58.73,77,40,12.66
185,Hervey Bay,AU,2022-05-14 19:53:40,-25.2986,152.8535,71.02,97,16,4.0
186,Sao Joao Da Barra,BR,2022-05-14 19:53:40,-21.6403,-41.0511,77.09,70,97,10.63
187,Envigado,CO,2022-05-14 19:53:23,6.1706,-75.5853,79.7,53,75,8.05
188,Aketi,CD,2022-05-14 19:53:41,2.7388,23.7833,70.18,93,100,0.45
189,Lata,PT,2022-05-14 19:53:42,40.1629,-8.3327,63.39,79,5,3.85
190,Saskylakh,RU,2022-05-14 19:53:42,71.9167,114.0833,22.28,95,100,10.58
191,Antananarivo,MG,2022-05-14 19:51:07,-18.9137,47.5361,58.96,94,75,4.61
192,Hebi,CN,2022-05-14 19:53:43,35.8992,114.1925,56.95,45,4,6.04
193,Quballat,TN,2022-05-14 19:53:44,36.5418,9.6633,75.49,47,6,4.03
194,Rognac,FR,2022-05-14 19:53:44,43.4876,5.2339,69.6,71,0,8.05
195,Xai-Xai,MZ,2022-05-14 19:53:45,-25.0519,33.6442,69.21,90,0,6.53
196,Gazimurskiy Zavod,RU,2022-05-14 19:53:45,51.5461,118.3266,39.16,73,100,6.24
197,Khatanga,RU,2022-05-14 19:53:46,71.9667,102.5,34.3,100,100,8.88
198,Kirensk,RU,2022-05-14 19:53:46,57.7853,108.1119,46.08,71,9,1.23
199,Talikota,IN,2022-05-14 19:53:47,16.4833,76.3167,84.85,53,96,18.12
200,Margate,GB,2022-05-14 19:53:48,51.3813,1.3862,57.69,82,90,3.0
201,Hofn,IS,2022-05-14 19:53:48,64.2539,-15.2082,38.79,96,100,14.56
202,Novopokrovka,UA,2022-05-14 19:53:49,49.8425,36.5477,53.73,92,100,6.85
203,Lebu,CL,2022-05-14 19:53:50,-37.6167,-73.65,53.98,75,19,18.19
204,Fortuna,US,2022-05-14 19:53:50,40.5982,-124.1573,65.93,81,0,13.8
205,West Wendover,US,2022-05-14 19:53:51,40.7391,-114.0733,72.61,16,0,8.05
206,Mahebourg,MU,2022-05-14 19:53:51,-20.4081,57.7,75.49,73,20,6.91
207,Souillac,MU,2022-05-14 19:53:52,-20.5167,57.5167,75.58,73,20,6.91
208,Corpus Christi,US,2022-05-14 19:53:53,27.8006,-97.3964,93.43,63,0,17.27
209,Talnakh,RU,2022-05-14 19:53:53,69.4865,88.3972,35.1,99,100,5.84
210,Camacari,BR,2022-05-14 19:53:54,-12.6975,-38.3242,83.97,76,93,6.31
211,Dalvik,IS,2022-05-14 19:53:54,65.9702,-18.5286,46.33,81,94,1.74
212,Port Blair,IN,2022-05-14 19:53:55,11.6667,92.75,80.64,89,40,2.3
213,Cayenne,GF,2022-05-14 19:50:22,4.9333,-52.3333,86.04,1,40,14.97
214,Chokurdakh,RU,2022-05-14 19:53:56,70.6333,147.9167,9.55,96,100,2.26
215,Clyde River,CA,2022-05-14 19:53:56,70.4692,-68.5914,26.83,80,20,9.22
216,Iquitos,PE,2022-05-14 19:53:57,-3.7481,-73.2472,77.04,100,75,5.75
217,Haines Junction,CA,2022-05-14 19:53:57,60.7522,-137.5108,44.55,42,100,10.36
218,Iqaluit,CA,2022-05-14 19:53:58,63.7506,-68.5145,22.73,73,75,23.02
219,Samarai,PG,2022-05-14 19:53:59,-10.6167,150.6667,81.16,79,6,10.04
220,Ust-Kulom,RU,2022-05-14 19:53:59,61.6864,53.6902,47.52,91,97,8.41
221,Northam,GB,2022-05-14 19:54:00,51.0333,-4.2167,56.39,79,100,6.04
222,Omsukchan,RU,2022-05-14 19:54:00,62.5333,155.8,29.71,98,100,5.32
223,Catuday,PH,2022-05-14 19:54:01,16.2923,119.8062,81.3,76,98,1.45
224,Pocatello,US,2022-05-14 19:54:01,42.8713,-112.4455,67.01,40,100,15.99
225,Laguna,US,2022-05-14 19:54:02,38.421,-121.4238,86.11,34,20,3.0
226,Socorro,US,2022-05-14 19:54:02,31.6546,-106.3033,95.5,3,0,4.61
227,Saint-Joseph,RE,2022-05-14 19:54:03,-21.3667,55.6167,70.18,78,38,10.02
228,Fare,PF,2022-05-14 19:54:03,-16.7,-151.0167,80.74,72,2,15.5
229,Tabou,CI,2022-05-14 19:54:04,4.423,-7.3528,76.12,88,100,3.42
230,Pemba,MZ,2022-05-14 19:54:05,-12.974,40.5178,79.5,83,40,5.75
231,Port Keats,AU,2022-05-14 19:55:05,-14.25,129.55,77.14,81,44,1.77
232,Ternate,ID,2022-05-14 19:55:06,0.8,127.4,80.15,80,94,2.06
233,Chumikan,RU,2022-05-14 19:55:06,54.7183,135.315,31.5,98,100,4.21
234,Andros Town,BS,2022-05-14 19:55:07,24.7,-77.7667,82.36,68,34,9.19
235,Townsville,AU,2022-05-14 19:53:47,-19.25,146.8,67.08,94,0,0.0
236,Sioux Lookout,CA,2022-05-14 19:55:07,50.1001,-91.917,53.67,82,75,11.5
237,Hualmay,PE,2022-05-14 19:55:08,-11.0964,-77.6139,69.04,72,10,9.35
238,Taoudenni,ML,2022-05-14 19:55:08,22.6783,-3.9836,90.36,9,18,10.63
239,Bontang,ID,2022-05-14 19:55:09,0.1333,117.5,77.05,89,100,4.18
240,Yabrud,SY,2022-05-14 19:55:10,33.9674,36.6574,63.27,46,70,7.43
241,Puerto Madero,MX,2022-05-14 19:55:10,14.7208,-92.4215,91.6,58,20,17.27
242,Seoul,KR,2022-05-14 19:52:17,37.5683,126.9778,51.24,74,0,3.44
243,Tuktoyaktuk,CA,2022-05-14 19:55:11,69.4541,-133.0374,23.0,86,100,12.66
244,Edd,ER,2022-05-14 19:55:12,13.9297,41.6925,86.09,71,0,2.37
245,Borazjan,IR,2022-05-14 19:55:12,29.2666,51.2159,86.32,13,0,12.77
246,Port Hedland,AU,2022-05-14 19:55:13,-20.3167,118.5667,68.05,94,1,6.91
247,Nalut,LY,2022-05-14 19:55:14,30.3333,10.85,74.41,17,0,6.55
248,Kalmunai,LK,2022-05-14 19:55:14,7.4167,81.8167,79.56,83,100,7.52
249,Prince Rupert,CA,2022-05-14 19:54:18,54.3161,-130.3201,51.49,67,75,8.05
250,Asau,RO,2022-05-14 19:55:15,46.4333,26.4,60.28,85,87,3.96
251,Beringovskiy,RU,2022-05-14 19:55:15,63.05,179.3167,36.3,96,100,5.41
252,Yeppoon,AU,2022-05-14 19:55:16,-23.1333,150.7333,65.98,91,0,3.24
253,Darhan,MN,2022-05-14 19:55:17,49.4867,105.9228,49.93,33,36,6.64
254,Borbon,PH,2022-05-14 19:55:17,10.838,124.0297,78.89,86,98,8.61
255,Luwuk,ID,2022-05-14 19:55:18,-0.9516,122.7875,77.04,87,100,2.59
256,Cherskiy,RU,2022-05-14 19:55:18,68.75,161.3,30.0,98,100,10.0
257,Arroyo,ES,2022-05-14 19:55:19,41.6096,-4.7969,66.07,82,75,9.22
258,Moranbah,AU,2022-05-14 19:55:19,-22.0016,148.0466,67.89,87,30,4.32
259,West Des Moines,US,2022-05-14 19:55:20,41.572,-93.7453,88.25,26,89,5.01
260,Pochutla,MX,2022-05-14 19:55:20,15.7432,-96.4661,91.81,48,85,6.89
261,Torbay,CA,2022-05-14 19:55:21,47.6666,-52.7314,39.88,81,75,13.8
262,Wajima,JP,2022-05-14 19:55:22,37.4,136.9,56.26,74,100,5.41
263,San Cristobal,VE,2022-05-14 19:55:22,7.7669,-72.225,80.78,53,46,7.02
264,Alice Springs,AU,2022-05-14 19:55:23,-23.7,133.8833,54.95,71,31,1.14
265,Shingu,JP,2022-05-14 19:55:24,33.7333,135.9833,55.81,61,74,5.66
266,Kumluca,TR,2022-05-14 19:55:24,36.3703,30.2869,67.35,58,10,4.23
267,Bulungu,CD,2022-05-14 19:55:25,-4.55,18.6,70.59,93,99,2.37
268,Belaya Gora,RU,2022-05-14 19:55:25,68.5333,146.4167,20.88,84,100,4.61
269,Wum,CM,2022-05-14 19:55:26,6.3833,10.0667,66.87,95,16,3.36
270,Dunedin,NZ,2022-05-14 19:55:26,-45.8742,170.5036,47.8,88,100,1.01
271,Novikovo,RU,2022-05-14 19:55:27,51.1537,37.8879,52.77,89,100,6.29
272,Maiduguri,NG,2022-05-14 19:55:28,11.8464,13.1603,89.67,11,55,5.91
273,Vaitape,PF,2022-05-14 19:55:28,-16.5167,-151.75,81.23,64,0,14.76
274,Akdepe,TM,2022-05-14 19:55:29,42.0551,59.3788,66.29,32,0,0.34
